State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,State_Abbr,Population_2010
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2003-08-17,Parts per billion,12.954545,28.0,9,26,Parts per million,0.024458,0.043,9,36,Parts per billion,2.0,2.0,0,3.0,Parts per million,0.695833,0.8,0,9.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2002-01-20,Parts per billion,15.681818,25.0,6,24,Parts per million,0.01375,0.023,8,19,Parts per billion,0.291667,1.0,5,1.0,Parts per million,0.6,0.8,7,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2006-06-04,Parts per billion,10.714286,38.0,22,36,Parts per million,0.040917,0.06,9,51,Parts per billion,4.958333,10.0,22,14.0,Parts per million,0.416667,0.5,6,6.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2002-11-03,Parts per billion,16.545455,31.0,18,29,Parts per million,0.007375,0.012,8,10,Parts per billion,1.26087,4.0,20,6.0,Parts per million,0.7,1.0,18,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2011-03-07,Parts per billion,7.333333,15.0,17,14,Parts per million,0.02775,0.035,12,30,Parts per billion,0.45,1.2,15,1.0,Parts per million,0.22625,0.26,8,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2015-05-13,Parts per billion,7.840909,18.0,23,17,Parts per million,0.021708,0.038,11,35,Parts per billion,0.3375,0.4,2,,Parts per million,0.224545,0.33,19,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2012-04-27,Parts per billion,9.725,21.4,5,20,Parts per million,0.028625,0.04,9,34,Parts per billion,0.1,0.2,11,,Parts per million,0.185417,0.24,6,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2003-02-01,Parts per billion,22.541667,45.0,18,42,Parts per million,0.018083,0.031,10,26,Parts per billion,3.833333,19.0,11,27.0,Parts per million,0.579167,1.3,7,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2006-03-25,Parts per billion,18.875,47.0,2,44,Parts per million,0.035042,0.051,9,43,Parts per billion,6.3125,16.0,20,,Parts per million,0.133333,0.4,4,5.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2002-11-17,Parts per billion,19.181818,42.0,19,40,Parts per million,0.013458,0.033,10,28,Parts per billion,2.125,6.0,19,9.0,Parts per million,0.545833,1.0,23,11.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2012-12-17,Parts per billion,15.504167,28.1,19,26,Parts per million,0.011625,0.021,10,18,Parts per billion,0.1,0.2,8,,Parts per million,0.205833,0.54,9,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2007-02-10,Parts per billion,10.75,33.0,19,31,Parts per million,0.0155,0.027,10,23,Parts per billion,2.625,6.0,1,9.0,Parts per million,0.020833,0.1,19,1.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2010-06-11,Parts per billion,8.5,18.0,4,17,Parts per million,0.015458,0.024,10,20,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.175882,0.29,6,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2015-04-25,Parts per billion,8.904167,14.2,12,13,Parts per million,0.015542,0.025,11,23,Parts per billion,0.229167,0.6,18,0.0,Parts per million,0.22,0.29,5,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2012-12-12,Parts per billion,8.172727,22.6,6,21,Parts per million,0.020667,0.031,11,26,Parts per billion,0.991667,3.8,6,4.0,Parts per million,0.155,0.24,23,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2010-11-03,Parts per billion,11.318182,21.0,3,20,Parts per million,0.013667,0.023,12,19,Parts per billion,1.271429,2.8,11,,Parts per million,0.2,0.2,0,2.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2011-10-20,Parts per billion,21.383333,43.0,20,41,Parts per million,0.018875,0.046,10,39,Parts per billion,1.191667,4.7,10,6.0,Parts per million,0.266667,0.8,23,9.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2014-05-22,Parts per billion,11.404167,28.2,2,26,Parts per million,0.039417,0.064,10,80,Parts per billion,0.375,1.5,11,,Parts per million,0.205,0.36,5,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2012-12-31,Parts per billion,9.458333,20.5,22,19,Parts per million,0.021,0.025,9,21,Parts per billion,0.5875,1.6,2,,Parts per million,0.232917,0.36,23,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2015-11-12,Parts per billion,11.875,27.6,20,25,Parts per million,0.027167,0.032,4,30,Parts per billion,0.75,2.0,19,3.0,Parts per million,0.17,0.21,7,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2015-04-07,Parts per billion,13.758333,27.9,19,25,Parts per million,0.016083,0.032,9,30,Parts per billion,0.457143,0.6,5,,Parts per million,0.241667,0.3,3,3.0,LA,4533372
